English word,French word,Frequeny
project,projet,251
world,monde,904
library,bibliothèque,232
their,leur,2077
often,souvent,123
public,Publique,57
certain,certain,176
copyright,droits d'auteur,228
should,devrait,1579
version,version,222
complete,Achevée,246
works,travaux,249
provided,à condition de,252
college,Université,226
permission,autorisation,225
machine,machine,223
readable,lisible,224
copies,copies,446
distributed,distribué,443
others,autres,420
personal,personnel,234
prohibited,interdit,221
commercial,commercial,221
includes,comprend,223
service,un service,443
download,Télécharger,221
membership,adhésion,221
proud,fier,209
entertainment,divertissement,37
neither,ni,185
under,sous,297
welcome,Bienvenue,366
plain,plaine,121
since,depuis,448
these,celles-ci,1324
further,plus loin,190
below,au dessous de,54
number,nombre,55
letter,lettre,246
would,aurait,2298
about,sur,403
please,S'il vous plaît,395
midnight,minuit,43
month,mois,44
those,ceux,547
first,première,1171
least,moins,101
hours,heures,138
written,écrit,35
hundred,cent,115
which,lequel,2316
paper,papier,106
other,autre,707
point,point,147
general,général,213
small,petit,101
effect,effet,72
reputation,réputation,47
right,droite,352
subject,matière,105
either,Soit,172
although,bien que,79
request,demande,67
cannot,ne peux pas,762
party,fête,51
receive,recevoir,98
discover,découvrir,43
within,dans,493
money,argent,187
person,la personne,152
return,revenir,246
second,seconde,572
express,Express,47
particular,particulier,56
purpose,objectif,208
above,au dessus,147
cause,cause,337
freely,librement,55
think,pense,1073
write,écrire,125
desire,le désir,218
beauty,beauté,233
might,pourrait,500
never,jamais,1020
tender,soumissionner,148
memory,Mémoire,58
bright,brillant,70
light,lumière,267
making,fabrication,81
where,où,1346
sweet,sucré,801
cruel,cruel,71
fresh,Frais,89
spring,printemps,62
content,contenu,158
waste,déchets,44
grave,la tombe,184
shall,doit,3599
field,champ,189
youth,jeunesse,283
worth,vaut,205
being,étant,663
treasure,Trésor,53
shame,la honte,307
praise,louange,182
answer,répondre,423
child,enfant,241
count,compter,130
excuse,excuse,78
blood,du sang,653
glass,verre,59
another,un autre,455
whose,dont,615
repair,réparation,46
mother,mère,436
lovely,charmant,53
through,par,262
despite,malgré,52
golden,d'or,91
single,Célibataire,59
image,image,46
spend,dépenser,68
nature,la nature,385
nothing,rien,636
abuse,abuser de,46
given,donné,191
great,génial,920
having,ayant,155
alone,seul,236
leave,laisser,657
lives,vies,205
gentle,doux,369
frame,Cadre,46
every,chaque,491
dwell,habiter,41
summer,été,89
winter,hiver,73
there,Là,2204
quite,assez,86
walls,des murs,84
flowers,fleurs,46
though,bien que,631
substance,substance,41
still,encore,563
place,endroit,431
willing,prêt,40
breed,race,50
times,fois,204
could,pourrait,626
death,décès,900
depart,partir,66
living,vivant,120
burning,brûlant,46
sight,vue,201
looks,regards,214
sacred,sacré,47
majesty,majesté,269
strong,fort,196
mortal,mortel,98
weary,se lasser,76
feeble,faible,37
unless,sauf si,153
music,la musique,203
pleasure,plaisir,180
offend,offenser,60
chide,gronder,49
parts,les pièces,111
husband,mari,327
happy,heureux,202
prove,prouver,252
widow,veuve,123
behind,derrière,120
private,privé,66
shape,forme,87
toward,vers,103
grant,subvention,111
chief,chef,108
change,changement,155
thought,pensée,377
presence,présence,106
wisdom,sagesse,97
without,sans pour autant,366
folly,folie,80
cease,cesser,47
store,boutique,39
bounty,prime,41
meant,signifiait,50
tells,raconte,42
brave,courageux,160
night,nuit,670
behold,voir,162
barren,Dénudé,41
green,vert,111
borne,supporté,79
beard,barbe,96
question,question,156
themselves,se,159
hence,Par conséquent,368
longer,plus long,112
yours,le tiens,256
coming,venir,156
prepare,préparer,65
again,encore,769
after,après,418
issue,problème,111
house,maison,545
eternal,éternel,39
father,père,1075
stars,étoiles,70
pluck,cueillir,138
quality,qualité,55
fortune,fortune,362
brief,bref,91
thunder,tonnerre,71
heaven,paradis,652
knowledge,connaissance,78
constant,constant,48
truth,vérité,338
together,ensemble,257
thrive,prospérer,56
consider,considérer,58
thing,chose,359
holds,tient,82
little,peu,482
nought,néant,58
shows,montre,102
secret,secret,65
perceive,apercevoir,92
state,Etat,310
before,avant,839
tyrant,tyran,59
means,veux dire,264
stand,supporter,584
maiden,jeune fille,50
painted,peint,52
counterfeit,contrefaire,55
outward,vers l'extérieur,50
keeps,garde,75
drawn,tiré,86
skill,compétence,52
believe,croyez,240
knows,sait,213
faces,visages,53
tongue,langue,417
alive,vivant,90
twice,deux fois,72
rough,rugueux,72
shake,secouer,101
short,court,106
sometime,parfois,77
complexion,complexion,40
chance,chance,104
course,cours,157
blunt,cru,68
earth,Terre,317
teeth,les dents,56
fierce,féroce,40
sorry,Pardon,92
swift,rapide,68
forbid,interdire,74
wrong,faux,275
young,Jeune,465
woman,femme,411
master,Maître,842
mistress,maîtresse,453
passion,la passion,108
heart,cœur,1059
acquainted,connaissance,39
false,faux,296
fashion,mode,112
object,objet,39
souls,âmes,111
wrought,forgé,41
truly,vraiment,172
breast,Sein,98
elder,aîné,43
therefore,par conséquent,627
bearing,palier,72
nurse,infirmière,208
slain,tué,127
strength,force,124
trust,confiance,176
forget,oublier,95
perfect,parfait,55
plead,plaider,48
learn,apprendre,120
painter,peintre,45
table,table,60
wherein,où,132
hanging,pendaison,39
turns,se tourne,55
therein,la bride,56
cunning,ruse,76
grace,la grâce,597
favour,favoriser,120
triumph,triomphe,48
pride,fierté,111
buried,enterré,57
frown,froncer les sourcils,52
glory,gloire,86
fight,bats toi,279
merit,mérite,51
witness,témoin,128
naked,nu,52
apparel,vêtements,40
loving,aimant,116
respect,le respect,101
haste,hâte,158
limbs,membres,47
intend,avoir l'intention,54
darkness,obscurité,39
blind,aveugle,82
shadow,ombre,81
jewel,bijou,60
makes,fait du,356
black,noir,166
quiet,silencieux,77
benefit,avantage,39
enemies,ennemis,111
reign,règne,47
consent,consentement,94
hands,mains,319
farther,plus loin,43
clouds,des nuages,59
flatter,flatter,54
grief,douleur,215
disgrace,disgrâce,49
trouble,difficulté,77
curse,malédiction,100
enjoy,prendre plaisir,54
almost,presque,161
wealth,richesse,72
scorn,mépris,108
kings,rois,117
sought,recherché,37
drown,noyer,88
precious,précieux,78
grieve,pleurer,40
account,Compte,46
while,tandis que,245
friend,ami,445
appear,apparaître,150
lovers,les amoureux,61
bones,des os,76
grown,grandi,57
birth,naissance,87
brought,apporté,196
march,Mars,132
better,mieux,595
glorious,glorieux,40
morning,Matin,132
sovereign,souverain,154
early,de bonne heure,50
shine,éclat,45
stain,tache,63
didst,didst,183
promise,promettre,107
forth,en avant,370
rotten,pourri,37
enough,assez,313
storm,orage,58
speak,parler,1205
wound,blessure,73
repent,se repentir,59
sorrow,chagrin,192
bears,ours,106
offence,infraction,96
cross,traverser,100
tears,larmes,284
ransom,une rançon,59
deeds,actes,118
silver,argent,68
fault,faute,169
bring,apporter,448
sense,sens,125
lawful,légitime,61
civil,civil,50
needs,Besoins,147
thief,voleur,68
confess,avouer,146
loves,aime,198
remain,rester,65
spite,dépit,59
steal,voler,84
delight,délice,56
kindness,la gentillesse,51
report,rapport,148
dearest,très cher,56
comfort,confort,187
whether,qu'il s'agisse,96
argument,argument,67
excellent,excellent,119
absence,absence,55
leisure,loisir,63
entertain,divertir,55
blame,faire des reproches,82
taste,goût,80
known,connu,187
pretty,jolie,117
liberty,liberté,73
forbear,ancêtre,58
dearly,chèrement,42
because,car,187
found,a trouvé,226
sleep,sommeil,263
dreams,rêves,45
clear,clair,66
heavy,lourd,168
flesh,la chair,138
matter,matière,357
large,grand,72
water,eau,144
attend,assister,117
present,présent,246
motion,mouvement,81
until,jusqu'à,76
health,santé,103
straight,tout droit,153
picture,image,43
title,Titre,91
feast,le banquet,101
thrust,poussée,54
whence,d'où,75
prize,prix,47
greet,saluer,43
desert,désert,44
guard,garde,129
teach,enseigner,104
beast,la bête,73
weight,poids,44
wretch,misérable,59
speed,la vitesse,240
anger,colère,60
sharp,tranchant,71
horse,cheval,231
fiery,ardent,49
going,Aller,106
solemn,solennel,41
captain,capitaine,177
special,spécial,38
instant,instant,61
strange,étrange,252
cheek,joue,76
breath,souffle,228
virtue,vertu,195
stone,calcul,64
sword,épée,353
quick,rapide,110
judgment,jugement,103
force,Obliger,107
former,ancien,63
spirit,esprit,265
shore,rive,56
blest,heureux,53
slave,esclave,131
watch,regarder,206
servant,serviteur,427
jealous,jaloux,49
affairs,affaires,67
crave,demander,42
bound,lié,175
suffer,souffrir,107
patience,la patience,190
pardon,pardon,309
brains,cerveaux,45
wonder,merveille,121
worse,pire,161
flourish,fleurir,137
awake,éveillé,78
remedy,remède,59
indeed,En effet,437
contrary,contraire,47
knife,couteau,54
advantage,avantage,72
kingdom,Royaume,102
taught,enseigné,50
fears,peurs,77
power,Puissance,307
action,action,116
flower,fleur,49
gates,portes,101
steel,acier,70
fearful,craintif,90
beggar,mendiant,76
faith,Foi,402
authority,autorité,55
doctor,docteur,113
simple,Facile,113
blush,rougir,56
bastard,Connard,208
durst,durst,51
voice,voix,157
commend,saluer,90
seeing,voyant,50
guess,devine,53
measure,mesure,95
smell,odeur,51
weeds,mauvaises herbes,44
common,commun,154
slander,calomnie,53
suspect,suspect,38
flies,mouches,54
remember,rappelles toi,191
perhaps,peut-être,44
devise,concevoir,48
carry,porter,89
coward,lâche,86
ground,sol,163
peace,paix,538
aside,de côté,465
proceed,procéder,72
always,toujours,63
already,déjà,147
commit,commettre,40
brain,cerveau,85
profit,profit,39
learned,appris,50
double,double,89
thank,remercier,294
faint,perdre connaissance,46
knowing,connaissance,46
humble,humble,72
yield,rendement,143
blessing,bénédiction,46
gross,brut,54
silence,silence,112
equal,égal,44
story,récit,67
something,quelque chose,182
struck,frappé,75
giving,donnant,58
familiar,familier,37
ghost,fantôme,86
farewell,adieu,353
comes,vient,617
dream,rêver,133
doing,Faire,69
vantage,avantage,39
morrow,demain,110
humour,humour,90
finds,trouve,42
revolt,révolte,42
lords,seigneurs,466
sport,sport,123
finger,doigt,65
queen,reine,978
betray,trahir,57
burden,fardeau,48
fruit,fruit,37
cheer,acclamation,80
forward,vers l'avant,90
despair,désespoir,54
third,troisième,244
colour,Couleur,78
office,Bureau,128
appears,apparaît,50
figure,figure,41
ladies,Dames,145
crown,couronne,300
drops,gouttes,52
prayers,prières,85
divine,Divin,49
affections,affections,40
proof,preuve,76
guilty,coupable,71
patient,patient,90
drink,boisson,156
bitter,amer,74
assure,assurer,50
throw,jeter,106
besides,outre,109
partly,partiellement,35
catch,capture,73
creature,créature,70
plague,peste,94
begin,commencer,113
reason,raison,288
afterwards,ensuite,38
minds,esprits,56
marriage,mariage,119
unknown,inconnue,44
taken,pris,94
accuse,accuser,38
sickness,maladie,52
policy,politique,45
goodness,la bonté,56
poison,poison,95
drunk,ivre,69
wounded,blessés,38
maintain,maintenir,53
beyond,au-delà,60
rather,plutôt,321
heard,entendu,348
falls,des chutes,81
fools,imbéciles,104
render,rendre,46
sooner,plus tôt,62
sound,du son,218
swear,jurer,264
become,devenir,142
herself,se,98
prison,prison,92
whole,entier,120
several,nombreuses,79
credit,crédit,51
habit,habitude,39
manner,manière,81
madness,la démence,68
foolish,insensé,96
deserve,mériter,65
denied,refusé,55
broke,cassé,86
dispatch,envoi,92
follow,suivre,336
angel,ange,54
saint,Saint,129
devil,diable,237
fiend,démon,67
doubt,doute,173
mercy,pitié,175
saying,en disant,56
charge,charge,201
terms,termes,75
dying,en train de mourir,46
desperate,désespéré,49
except,sauf,38
discourse,discours,59
sworn,juré,132
mistake,erreur,40
revenge,vengeance,155
worship,culte,104
commanded,commandé,40
conscience,conscience,122
treason,trahison,92
oaths,serments,69
honest,honnête,288
cupid,Cupidon,58
asleep,endormi,60
endure,supporter,76
trial,procès,60
touch,toucher,163
withal,avec,142
chaste,chaste,38
dramatis,dramatis,36
france,France,528
parolles,parolles,175
french,français,225
steward,intendant,47
countess,comtesse,121
clown,pitre,350
daughter,fille,437
neighbour,voisine,58
mariana,Mariana,48
scene,scène,798
paris,Paris,138
palace,palais,160
enter,entrer,2106
command,commander,173
passage,passage,35
spoke,parlait,148
season,saison,47
enemy,ennemi,166
understand,comprendre,98
speech,discours,128
bless,bénir,119
exeunt,sortir,1035
undone,défait,55
ambition,ambition,47
itself,lui-même,240
brows,sourcils,45
trick,tour,51
fancy,fantaisie,57
soldier,soldat,272
valiant,vaillant,151
warlike,guerrier,58
marry,marier,365
companion,un compagnon,37
hangs,bloque,37
stomach,estomac,43
anything,n'importe quoi,105
court,tribunal,264
safety,sécurité,74
valour,valeur,101
business,Entreprise,232
serve,servir,187
counsel,Conseil,135
advice,Conseil,43
ourselves,nous-mêmes,115
native,originaire de,43
pains,des douleurs,91
fought,combattu,66
cousin,cousin,271
myself,moi même,567
contempt,mépris,46
royal,Royal,210
quoth,quoth,66
knave,fripon,174
sirrah,sirrah,148
fellow,compagnon,320
ladyship,Madame,44
heads,têtes,109
stood,se tenait,93
sentence,phrase,39
forsooth,en vérité,47
demand,demande,60
knight,Chevalier,135
deliver,livrer,138
yourself,toi même,280
choice,choix,70
messenger,Messager,300
brother,frère,642
noble,noble,614
sister,sœur,204
affection,affection,76
encounter,rencontre,53
search,chercher,48
intent,intention,50
danger,danger,100
success,Succès,48
attended,assisté,45
bought,acheté,50
dance,Danse,71
kneel,s'agenouiller,72
laugh,rire,113
wings,ailes,55
traitor,traitre,134
uncle,oncle,206
spare,de rechange,60
practice,entraine toi,41
estate,biens,49
modest,modeste,38
peril,péril,43
minister,ministre,38
proclaim,proclamer,61
courage,courage,67
happiness,bonheur,57
hazard,danger,41
infinite,infini,38
match,rencontre,97
chair,chaise,40
mouth,bouche,134
constable,gendarme,87
warrant,mandat,176
tedious,fastidieux,44
banish,bannir,127
protest,manifestation,53
afraid,peur,41
fourth,Quatrième,51
liege,Liege,141
highness,altesse,189
mighty,puissant,110
unworthy,indigne,36
justice,Justice,239
smile,sourire,77
scarce,rare,73
window,la fenêtre,50
beaten,battu,46
lordship,seigneurie,124
commission,commission,48
awhile,quelque temps,102
cares,se soucie,36
priest,prêtre,71
tread,bande de roulement,43
strike,la grève,154
chamber,chambre,120
noise,bruit,110
merry,joyeux,169
whither,où,88
everything,tout,42
tailor,tailleur,51
order,ordre,93
dinner,dîner,93
between,entre,240
displeasure,mécontentement,41
clothes,vêtements,40
entreat,supplier,111
flight,vol,53
quarrel,querelle,98
council,conseil,51
along,le long de,112
country,pays,183
knock,frappe,83
yonder,là-bas,74
dreadful,horrible,59
violent,violent,41
heels,talons,73
embrace,embrasse,68
wrath,colère,57
approach,approche,76
labour,la main d'oeuvre,94
misery,misère,39
tarry,goudronneux,45
conduct,conduite,48
hostess,hôtesse,112
surely,sûrement,39
gallant,galant,55
rascal,coquin,61
battle,bataille,117
courtesy,courtoisie,64
offer,offre,108
malice,malice,72
fetch,chercher,124
undertake,entreprendre,45
suddenly,tout à coup,50
bottom,bas,105
disposition,disposition,44
dishonour,déshonorer,50
parted,séparé,44
purse,bourse,84
meaning,sens,57
ignorant,ignorant,48
possible,possible,58
swore,juré,51
opinion,opinion,84
proper,correct,65
company,entreprise,206
street,rue,83
hereafter,"ci-après, par la suite",48
wench,jeune fille,59
dagger,dague,44
condition,état,59
innocent,innocent,52
behalf,nom,45
rogue,coquin,81
drums,tambours,41
throne,trône,67
prince,prince,772
unhappy,malheureux,38
belike,être comme,42
henceforth,désormais,40
close,proche,105
natural,Naturel,58
deadly,mortel,51
wives,épouses,62
ancient,ancien,79
utter,prononcer,43
enobarbus,énobarbus,154
dolabella,Dolabella,39
pompey,pompey,211
lieutenant,lieutenant,78
soothsayer,devin,43
egypt,Egypte,49
train,train,85
people,gens,220
speaks,parle,128
names,des noms,49
witch,sorcière,94
loose,ample,50
mirth,gaieté,52
sudden,soudain,79
occasion,occasion,74
piece,pièce,87
victory,la victoire,47
sweat,transpiration,39
abroad,à l'étranger,64
doors,des portes,62
murder,meurtre,76
stroke,accident vasculaire cérébral,39
supper,souper,61
custom,Douane,45
ready,prêt,143
villain,scélérat,250
throat,gorge,50
trumpet,trompette,90
capitol,Capitole,43
blows,coups,71
marcus,Marcus,138
shortly,prochainement,46
emperor,empereur,112
round,rond,75
athens,Athènes,72
dread,crainte,49
defend,défendre,66
raise,élever,47
meeting,réunion,52
garden,jardin,47
whore,putain,48
maids,servantes,43
staff,Personnel,39
empty,vide,51
satisfied,satisfait,48
challenge,défi,48
armour,armure,41
fairy,Fée,58
chain,chaîne,67
hateful,odieux,39
monster,monstre,76
tower,la tour,81
bodies,corps,44
study,étude,65
obedience,obéissance,52
stuff,des trucs,64
visit,visite,55
merchant,marchande,67
avoid,éviter,38
oliver,oliver,57
orlando,orlando,164
shepherd,berger,126
phebe,phebe,47
forest,forêt,71
reverence,révérence,42
lands,terres,54
brook,ruisseau,82
device,dispositif,42
weeping,larmes,59
judge,juge,92
niece,nièce,64
church,église,66
seven,Sept,70
slender,mince,111
knees,les genoux,51
hollow,creux,49
vengeance,vengeance,52
claim,prétendre,64
flood,inonder,47
according,selon,45
degree,diplôme,47
prologue,prologue,40
syracuse,Syracuse,238
porter,porter,44
pound,livre,53
damned,damné,45
execution,exécution,48
fatal,fatal,43
marcius,Marcius,143
cominius,cominius,104
tribunes,tribunes,67
citizen,citoyenne,186
weapons,armes,42
senate,sénat,42
rivers,rivières,58
senator,sénateur,91
hector,Hector,222
ulysses,Ulysse,114
tonight,ce soir,49
regard,qui concerne,43
mischief,sottises,42
charity,charité,54
cloten,cailloter,110
posthumus,posthume,129
forces,les forces,44
castle,Château,107
murther,aller plus loin,59
tempest,tempête,44
realm,domaine,53
valentine,Valentin,233
claudio,Claudio,180
thomas,Thomas,75
percy,Percy,87
edmund,Edmund,72
poins,poins,103
gaunt,décharné,71
pistol,pistolet,187
elbow,coude,52
clarence,clarté,211
mowbray,mowbray,66
surrey,Surrey,50
gower,gower,53
bishop,évêque,48
oxford,Oxford,56
bedford,Bedford,49
exeter,Exeter,98
talbot,talbot,172
suffolk,suffolk,259
philip,Philippe,71
protector,protecteur,56
cardinal,cardinal,162
somerset,somerset,147
reignier,règne,49
margaret,margaret,209
cromwell,Cromwell,44
clifford,Clifford,139
wolsey,Wolsey,101
ferdinand,Ferdinand,53
hubert,Hubert,96
milan,Milan,41
cinna,cinna,40
maria,maria,115
venice,venise,86
duncan,Duncan,40
salerio,salerio,48
lorenzo,Lorenzo,81
padua,Padoue,41
fenton,Fenton,46
pandarus,Pandarus,188
oberon,Oberon,45
pedro,pedro,155
claud,claud,125
emilia,Émilie,149
lucentio,Lucentio,131
miranda,Miranda,65
ariel,Ariel,93
bassianus,bassianus,45
polixenes,polixènes,84
viola,alto,142
launce,lancer,82
julia,Julia,153
leontes,leontes,150
paulina,paulina,86
